run,estimated_period,peak_phase,peak_flux,peak_prominence,pulse_width_phase,pulse_duration,baseline,noise_std,signal_amplitude,snr,success
51,1.0,0.51,0.9311986804504923,0.9403485067380852,0.07768661492245968,0.07768661492245968,0.01037539917829719,0.03970267820766012,0.920823281272195,23.192976465112473,True
52,1.0,0.49,0.932751030060303,0.9440763674366872,0.07808563035983025,0.07808563035983025,0.008568584767860555,0.04010214114910275,0.9241824452924424,23.045713241501574,True
53,1.0,0.49,0.9282741421206253,0.9368936379048082,0.07820160393382096,0.07820160393382096,0.011116363753100596,0.04044767776031944,0.9171577783675248,22.67516527901357,True
54,1.0,0.49,0.9400274881513316,0.9502688535483311,0.07781302780699934,0.07781302780699934,0.011578401339676879,0.041804429474304225,0.9284490868116547,22.209347155002824,True
55,1.0,0.49,0.9322726841629317,0.9413143313966145,0.07826751463074903,0.07826751463074903,0.008772322975437334,0.040133150798377044,0.9235003611874945,23.010911000410168,True
56,1.0,0.49,0.9419168052975846,0.9553099672866361,0.07815665865249799,0.07815665865249799,0.008489628690843142,0.042130930051656114,0.9334271766067415,22.155389768568604,True
57,1.0,0.51,0.9282971795196134,0.934845280070421,0.07859920162761713,0.07859920162761713,0.011136341515777639,0.041497745734952025,0.9171608380038357,22.101461700155557,True
58,1.0,0.51,0.9324639232255796,0.9401137715980947,0.07915502169996393,0.07915502169996393,0.010647371585640471,0.042092070861027855,0.9218165516399391,21.90000474634355,True
59,1.0,0.51,0.9343939240925816,0.9484870248339079,0.07869277703543216,0.07869277703543216,0.008260091766938378,0.04333298222570348,0.9261338323256432,21.372492377787367,True
60,1.0,0.51,0.9326999931532809,0.9455762321641789,0.07851342497747368,0.07851342497747368,0.010657064042146667,0.04161770665111593,0.9220429291111343,22.155063392624754,True
61,1.0,0.51,0.9298721230483172,0.935443281589413,0.07892554547282576,0.07892554547282576,0.009271615860726648,0.0412499164359142,0.9206005071875906,22.317633264005128,True
62,1.0,0.49,0.9363813291888646,0.945059345187046,0.07832099874077836,0.07832099874077836,0.011624932198168559,0.04276314193952618,0.9247563969906961,21.62508073654755,True
63,1.0,0.51,0.9289115593327179,0.9382816872139843,0.07813593701580865,0.07813593701580865,0.010578745430832903,0.04161173843761413,0.9183328139018849,22.06908070612536,True
64,1.0,0.51,0.9453015336069346,0.9561683773880908,0.07842817024749933,0.07842817024749933,0.010372564388585328,0.04185318235767278,0.9349289692183492,22.338300615435813,True
65,1.0,0.49,0.939024987501658,0.9522069043971331,0.0777317726406974,0.0777317726406974,0.00812688419433669,0.04025302340417352,0.9308981033073213,23.12616605118918,True
66,1.0,0.49,0.9492071385998203,0.9645816687188694,0.07774234109396429,0.07774234109396429,0.008175406853845133,0.040481997195927426,0.9410317317459752,23.245684425882153,True
67,1.0,0.49,0.9463674292553061,0.9563127585734247,0.0773881124655267,0.0773881124655267,0.009911966006953184,0.0415951126141233,0.9364554632483529,22.51359365067296,True
68,1.0,0.51,0.9335384410077325,0.9418941431410219,0.07776501212551891,0.07776501212551891,0.011297861093573402,0.04203940568959385,0.9222405799141591,21.937526584550273,True
69,1.0,0.51,0.9290409649035081,0.9435809865185908,0.07884963945664417,0.07884963945664417,0.008959384380032149,0.04220243612892299,0.9200815805234759,21.80162248721248,True
70,1.0,0.49,0.942903795721101,0.9541795960978131,0.07823762067009428,0.07823762067009428,0.009534366650361122,0.042055298471086314,0.9333694290707398,22.19386053608551,True
71,1.0,0.49,0.9404177739812962,0.9503056125433903,0.0777351490442895,0.0777351490442895,0.009370076056374799,0.0386206632664342,0.9310476979249214,24.1075015077255,True
72,1.0,0.49,0.9362988487134377,0.9467836635058288,0.07795315816656112,0.07795315816656112,0.009026643594377807,0.04115833854634495,0.92727220511906,22.529388645630984,True
73,1.0,0.51,0.9351242485255566,0.9463207901957844,0.07813504289100767,0.07813504289100767,0.009761941063077716,0.04108684052206115,0.9253623074624789,22.522109164505245,True
74,1.0,0.51,0.9323042940474427,0.9444251631398242,0.07840285752503187,0.07840285752503187,0.009855011369537614,0.041193985642188,0.9224492826779052,22.39281458925395,True
75,1.0,0.49,0.9300085036874289,0.9379794012341369,0.07887329533836064,0.07887329533836064,0.00989167492848009,0.04082357323653117,0.9201168287589488,22.538860658468227,True
76,1.0,0.51,0.9315127021242503,0.9424673198077396,0.07860169034424068,0.07860169034424068,0.009045057549449648,0.03957747285027878,0.9224676445748007,23.30789659219747,True
77,1.0,0.49,0.9357326230435927,0.9467755087074603,0.07747540727781929,0.07747540727781929,0.00879372467227855,0.03993238433598551,0.9269388983713142,23.212711031031343,True
78,1.0,0.49,0.9342064002888354,0.9466285909387818,0.07839034008390282,0.07839034008390282,0.009181213817690307,0.04252920125768998,0.9250251864711451,21.75035408885995,True
79,1.0,0.51,0.9236528471944775,0.9347339325180719,0.07930252813057431,0.07930252813057431,0.008992241566747312,0.0418399719936719,0.9146606056277302,21.860927769408363,True
80,1.0,0.49,0.9316581463634847,0.9488411112568547,0.0793277785628264,0.0793277785628264,0.008598140728598174,0.04185213221664985,0.9230600056348864,22.05526831599919,True
81,1.0,0.51,0.9265663194163334,0.9326140483448827,0.0787366410070179,0.0787366410070179,0.011951381844969244,0.04175422350994111,0.9146149375713641,21.90472868819143,True
82,1.0,0.49,0.93509975733673,0.9451403107243438,0.07873980566482247,0.07873980566482247,0.008954824897400472,0.04140962024731266,0.9261449324393295,22.36545341174514,True
83,1.0,0.49,0.9329347032864735,0.9484786823179266,0.07908489296638908,0.07908489296638908,0.010874166749367769,0.041178077401807595,0.9220605365371057,22.39202494909658,True
84,1.0,0.51,0.933394064856427,0.9427207805409586,0.07843189383571876,0.07843189383571876,0.010104764583331436,0.0417228136663511,0.9232893002730955,22.129123593064776,True
85,1.0,0.49,0.9337371105985965,0.9440900941686821,0.07854836450325099,0.07854836450325099,0.00926712115818153,0.041308448652970654,0.924469989440415,22.37968308146408,True
86,1.0,0.49,0.9393366574770228,0.9438866054635247,0.0777511854847042,0.0777511854847042,0.011067116012219758,0.039382618498922495,0.928269541464803,23.570538903861873,True
87,1.0,0.51,0.9363606820694254,0.9510427208826032,0.07853053289972466,0.07853053289972466,0.00906228152985103,0.04209085493112744,0.9272984005395744,22.030875876883403,True
88,1.0,0.49,0.9355765612416848,0.9500156299180172,0.07867748628527035,0.07867748628527035,0.010687910431036082,0.04123620500282404,0.9248886508106486,22.42904386442225,True
89,1.0,0.51,0.9296303635556383,0.9393381125261021,0.07865755801448315,0.07865755801448315,0.010159765882330935,0.04208545948073976,0.9194705976733074,21.847702484847513,True
90,1.0,0.49,0.9296463270818999,0.9397523909609176,0.07825075731555148,0.07825075731555148,0.009382456952446787,0.041033011391999594,0.9202638701294531,22.42740269140669,True
91,1.0,0.49,0.9340577078385236,0.9435422514636939,0.0783245254536664,0.0783245254536664,0.009641000455441936,0.039664481069519926,0.9244167073830817,23.30590700941875,True
92,1.0,0.51,0.9353759184839167,0.946437062624932,0.07784639669792814,0.07784639669792814,0.009707986559137634,0.04226141671666474,0.925667931924779,21.903381472769343,True
93,1.0,0.49,0.9478906560866426,0.9589340607908818,0.07680364992521799,0.07680364992521799,0.010072354178291248,0.041167041019962526,0.9378183019083514,22.780804222814776,True
94,1.0,0.51,0.9257814981172985,0.9353375215870464,0.07908149826455722,0.07908149826455722,0.01150917230877615,0.04062560562666345,0.9142723258085224,22.504829446984683,True
95,1.0,0.51,0.9381471271480365,0.9539868012977231,0.07803136327220607,0.07803136327220607,0.0081335179461911,0.03987051859365969,0.9300136092018454,23.32584681629244,True
96,1.0,0.49,0.9355315520072669,0.9459921756768274,0.07832652965757604,0.07832652965757604,0.009447179927168687,0.03992950825493822,0.9260843720800982,23.192982146620004,True
97,1.0,0.49,0.9408725414801153,0.9567124902877993,0.07867415990862153,0.07867415990862153,0.007224655894065837,0.042286297152832025,0.9336478855860495,22.07920646756181,True
98,1.0,0.49,0.9290029251148468,0.9476128242389477,0.07896044804162804,0.07896044804162804,0.008552271464565067,0.04120650747697847,0.9204506536502818,22.337507107694712,True
99,1.0,0.49,0.9472794293313702,0.9579574042952762,0.07669008101334127,0.07669008101334127,0.010014914548442461,0.03925354173429667,0.9372645147829277,23.877196129897737,True
100,1.0,0.49,0.9368534603212633,0.9505085928732231,0.07817584266114616,0.07817584266114616,0.01033361808035684,0.0415867465801249,0.9265198422409064,22.279209566340732,True
